epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.806,2.34968,5.48379,2.47334,0.25083,0.41176,0.22225,0.06292,2.13486,4.29306,2.45667,0.00016,0.00016,0.00016
2,278.558,1.85,3.99116,2.00972,0.2993,0.26471,0.18955,0.04655,1.85638,3.44981,2.3227,0.000335793,0.000335793,0.000335793
3,418.973,1.99318,2.75216,2.10263,0.79218,0.23529,0.29323,0.12769,2.12627,3.96161,2.46039,0.00050713,0.00050713,0.00050713
4,547.445,1.95223,2.57192,2.06556,0.11379,0.38235,0.18787,0.10768,2.09502,10.099,2.35515,0.000674013,0.000674013,0.000674013
5,692.405,2.06807,2.77361,2.1416,0.00224,0.29412,0.00174,0.00049,2.59841,143.937,3.42885,0.00083644,0.00083644,0.00083644
6,836.17,2.04708,3.0078,2.06365,0.00137,0.44118,0.00112,0.00029,3.31089,10816.6,30.3113,0.000994413,0.000994413,0.000994413
7,993.989,2.106,2.52932,2.06977,0.00124,0.11765,0.00087,0.00014,3.98533,4.82434,5.94331,0.00114793,0.00114793,0.00114793
8,1152.9,2.09082,2.58371,2.10107,0.08879,0.08824,0.03234,0.01124,2.91207,9.26867,4.48718,0.00129699,0.00129699,0.00129699
9,1312.49,2.10896,2.17377,2.05054,0.00924,0.11765,0.00302,0.00079,3.04661,18.0569,4.51634,0.0014416,0.0014416,0.0014416
10,1480.24,2.02001,2.09473,2.02455,0.0237,0.08824,0.00295,0.0009,3.56024,29.582,12.7774,0.00158175,0.00158175,0.00158175
11,1653.93,2.13266,2.3452,2.11342,0.01946,0.02941,0.00404,0.0007,4.22392,6.41677,9.17854,0.00171745,0.00171745,0.00171745
12,1828.69,2.03437,2.17799,2.0598,0,0,0,0,2.49777,4.80999,8.82523,0.00172775,0.00172775,0.00172775
13,1998.81,2.10964,2.30691,2.07574,0.02498,0.02941,0.00177,0.00035,2.29583,72.5242,10.5699,0.001703,0.001703,0.001703
14,2177.73,2.10033,2.16003,2.02319,0,0,0,0,0.13542,0.9405,1.08004,0.00167825,0.00167825,0.00167825
15,2327.69,2.09472,2.01679,2.0683,0,0,0,0,2.51018,561.823,2.57103,0.0016535,0.0016535,0.0016535
16,2471.25,2.14646,1.98939,2.08869,0.00049,0.02941,0.00027,0.00013,2.0784,1478.94,3.18454,0.00162875,0.00162875,0.00162875
17,2615.94,2.19405,2.10602,2.19116,0.12383,0.02941,0.01041,0.00329,1.45441,29.9539,1.91654,0.001604,0.001604,0.001604
18,2761.94,2.11625,2.13357,2.11494,0.10401,0.08824,0.01535,0.00524,1.73491,8.07524,4.30856,0.00157925,0.00157925,0.00157925
19,2930.75,2.25137,2.00054,2.16512,0.00037,0.02941,0.00019,4e-05,4.00113,9.76129,7.7367,0.0015545,0.0015545,0.0015545
20,3111.22,2.0488,2.15285,2.01584,0.19247,0.08824,0.05311,0.01731,3.74356,6.21873,6.0283,0.00152975,0.00152975,0.00152975
21,3284.49,2.06973,1.9744,2.00569,0.12142,0.08824,0.04444,0.01215,3.28904,6.2648,4.52875,0.001505,0.001505,0.001505
22,3422.92,2.10698,2.14524,2.08182,0.16857,0.32353,0.09489,0.02886,2.82239,5.19432,4.48216,0.00148025,0.00148025,0.00148025
23,3567.51,2.08788,2.1076,2.05152,0.17121,0.05882,0.02891,0.01027,2.81925,4.35208,3.41246,0.0014555,0.0014555,0.0014555
24,3715.84,2.04418,1.81084,1.97442,0.29154,0.20588,0.20275,0.0719,2.58316,3.62588,3.01418,0.00143075,0.00143075,0.00143075
