epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.48922,0.67609,0.97126,1,0.3868,0.0001667,0.0001667,0.0001667
2,9.56242,0.34752,1,1,0.07228,0.000343139,0.000343139,0.000343139
3,11.0944,0.1841,1,1,0.00629,0.000512316,0.000512316,0.000512316
4,12.5447,0.073,1,1,0.00105,0.000674231,0.000674231,0.000674231
5,14.026,0.04102,1,1,0.00036,0.000828886,0.000828886,0.000828886
6,15.5322,0.02039,1,1,0.00029,0.000976279,0.000976279,0.000976279
7,18.3129,0.01238,1,1,6e-05,0.00111641,0.00111641,0.00111641
8,21.9091,0.06166,1,1,4e-05,0.00124928,0.00124928,0.00124928
9,26.3683,0.0575,1,1,4e-05,0.00137489,0.00137489,0.00137489
10,29.4639,0.04,1,1,7e-05,0.00136994,0.00136994,0.00136994
11,31.1459,0.05454,1,1,0.00015,0.00133693,0.00133693,0.00133693
12,36.1315,0.02209,1,1,0.00016,0.00130393,0.00130393,0.00130393
13,37.602,0.00877,1,1,0.0001,0.00127092,0.00127092,0.00127092
14,39.0484,0.01702,1,1,8e-05,0.00123791,0.00123791,0.00123791
15,40.5114,0.02486,1,1,0.00012,0.00120491,0.00120491,0.00120491
16,41.953,0.20815,1,1,0.0002,0.0011719,0.0011719,0.0011719
17,43.2373,0.01942,1,1,0.00101,0.00113889,0.00113889,0.00113889
18,44.6619,0.03992,1,1,0.00141,0.00110589,0.00110589,0.00110589
19,45.9844,0.00529,1,1,0.0006,0.00107288,0.00107288,0.00107288
20,47.435,0.0117,1,1,0.00033,0.00103987,0.00103987,0.00103987
21,48.8031,0.01588,1,1,0.00017,0.00100687,0.00100687,0.00100687
22,50.2393,0.01274,1,1,0.00014,0.000973861,0.000973861,0.000973861
23,51.6888,0.08838,1,1,0.00012,0.000940855,0.000940855,0.000940855
24,53.1618,0.01494,1,1,0.00021,0.000907848,0.000907848,0.000907848
25,54.6147,0.01066,1,1,0.00013,0.000874842,0.000874842,0.000874842
26,56.0757,0.01095,1,1,0.00018,0.000841835,0.000841835,0.000841835
27,57.4465,0.00497,1,1,0.00013,0.000808828,0.000808828,0.000808828
28,60.1758,0.02441,1,1,8e-05,0.000775822,0.000775822,0.000775822
29,64.9582,0.00281,1,1,5e-05,0.000742815,0.000742815,0.000742815
30,66.3664,0.00433,1,1,4e-05,0.000709809,0.000709809,0.000709809
31,69.464,0.00498,1,1,1e-05,0.000676802,0.000676802,0.000676802
32,72.6211,0.0141,1,1,1e-05,0.000643795,0.000643795,0.000643795
33,76.0396,0.00504,1,1,1e-05,0.000610789,0.000610789,0.000610789
34,79.7424,0.06197,1,1,1e-05,0.000577782,0.000577782,0.000577782
35,81.0569,0.00599,1,1,1e-05,0.000544776,0.000544776,0.000544776
36,82.5167,0.00502,1,1,1e-05,0.000511769,0.000511769,0.000511769
37,83.9133,0.05924,1,1,1e-05,0.000478762,0.000478762,0.000478762
38,85.2881,0.00476,1,1,1e-05,0.000445756,0.000445756,0.000445756
39,86.7772,0.00315,1,1,2e-05,0.000412749,0.000412749,0.000412749
40,88.1827,0.00883,1,1,2e-05,0.000379743,0.000379743,0.000379743
41,90.4023,0.00446,1,1,4e-05,0.000346736,0.000346736,0.000346736
42,91.883,0.00106,1,1,3e-05,0.000313729,0.000313729,0.000313729
43,93.3109,0.00269,1,1,2e-05,0.000280723,0.000280723,0.000280723
44,94.6641,0.01759,1,1,2e-05,0.000247716,0.000247716,0.000247716
45,95.9702,0.01418,1,1,1e-05,0.00021471,0.00021471,0.00021471
46,97.4065,0.00922,1,1,2e-05,0.000181703,0.000181703,0.000181703
47,98.8939,0.01467,1,1,2e-05,0.000148696,0.000148696,0.000148696
48,100.321,0.00512,1,1,2e-05,0.00011569,0.00011569,0.00011569
49,102.591,0.00681,1,1,2e-05,8.26832e-05,8.26832e-05,8.26832e-05
50,105.636,0.00173,1,1,3e-05,4.96766e-05,4.96766e-05,4.96766e-05
